structure_id,conf_symbol,mixing_energy_pa,Al,Nb
ICET-Training-No-00002,Al,0.0,1.0,0.0
ICET-Training-No-00003,Nb,0.0,0.0,1.0
ICET-Training-No-00010,AlNb,-0.3444552,0.5,0.5
ICET-Training-No-00020,AlNb,-0.08308722,0.5,0.5
ICET-Training-No-00040,Al2Nb,-0.19758084333333334,0.67,0.33
ICET-Training-No-00043,AlNb2,-0.20136404333333333,0.33,0.67
ICET-Training-No-00070,Al2Nb,-0.28945341666666663,0.67,0.33
ICET-Training-No-00073,AlNb2,-0.14824666666666667,0.33,0.67
ICET-Training-No-00100,Al2Nb,-0.19003371,0.67,0.33
ICET-Training-No-00103,AlNb2,-0.20408898333333333,0.33,0.67
ICET-Training-No-00176,Al3Nb,-0.2024120775,0.75,0.25
ICET-Training-No-00179,Al2Nb2,-0.155967845,0.5,0.5
ICET-Training-No-00187,AlNb3,-0.14546586,0.25,0.75
ICET-Training-No-00281,Al3Nb,-0.2825089525,0.75,0.25
ICET-Training-No-00284,Al2Nb2,-0.33669171,0.5,0.5
ICET-Training-No-00292,AlNb3,-0.1345173925,0.25,0.75
ICET-Training-No-00386,Al3Nb,-0.242423575,0.75,0.25
ICET-Training-No-00389,Al2Nb2,-0.210253615,0.5,0.5
ICET-Training-No-00397,AlNb3,-0.18255941,0.25,0.75
ICET-Training-No-00491,Al3Nb,-0.2661253425,0.75,0.25
ICET-Training-No-00494,Al2Nb2,-0.2968344775,0.5,0.5
ICET-Training-No-00502,AlNb3,-0.1286461425,0.25,0.75
ICET-Training-No-00596,Al3Nb,0.0879381775,0.75,0.25
ICET-Training-No-00599,Al2Nb2,-0.1223485825,0.5,0.5
ICET-Training-No-00607,AlNb3,-0.1045668325,0.25,0.75
ICET-Training-No-00671,Al3Nb,-0.2274523775,0.75,0.25
ICET-Training-No-00677,AlNb3,-0.152904845,0.25,0.75
ICET-Training-No-00752,Al3Nb,-0.1500373975,0.75,0.25
ICET-Training-No-00758,AlNb3,-0.18698031,0.25,0.75
ICET-Training-No-01031,Al4Nb,-0.19683149,0.8,0.2
ICET-Training-No-01034,Al3Nb2,-0.12236488999999999,0.6,0.4
ICET-Training-No-01040,Al3Nb2,-0.245529524,0.6,0.4
ICET-Training-No-01043,Al2Nb3,-0.11658710400000001,0.4,0.6
ICET-Training-No-01064,Al2Nb3,-0.255674578,0.4,0.6
ICET-Training-No-01072,AlNb4,-0.11335189400000001,0.2,0.8
ICET-Training-No-01403,Al4Nb,-0.239404904,0.8,0.2
ICET-Training-No-01406,Al3Nb2,-0.315459502,0.6,0.4
ICET-Training-No-01412,Al3Nb2,-0.3263545,0.6,0.4
