x,y,gamma
0.0,0.0,0.0
0.03333,0.0,0.00033
0.06667,0.0,0.00132
0.1,0.0,0.00301
0.13333,0.0,0.0053
0.16667,0.0,0.00785
0.2,0.0,0.01034
0.23333,0.0,0.01275
0.26667,0.0,0.01503
0.3,0.0,0.01713
0.33333,0.0,0.01896
0.36667,0.0,0.02036
0.4,0.0,0.02129
0.43333,0.0,0.02185
0.46667,0.0,0.02215
0.5,0.0,0.02224
0.53333,0.0,0.02215
0.56667,0.0,0.02185
0.6,0.0,0.02129
0.63333,0.0,0.02036
0.66667,0.0,0.01896
0.7,0.0,0.01713
0.73333,0.0,0.01503
0.76667,0.0,0.01275
0.8,0.0,0.01034
0.83333,0.0,0.00785
0.86667,0.0,0.0053
0.9,0.0,0.00301
0.93333,0.0,0.00132
0.96667,0.0,0.00033
0.0,0.03333,0.00033
0.03333,0.03333,0.00096
0.06667,0.03333,0.00225
0.1,0.03333,0.00418
0.13333,0.03333,0.0065
0.16667,0.03333,0.00884
0.2,0.03333,0.01107
0.23333,0.03333,0.01316
0.26667,0.03333,0.01507
0.3,0.03333,0.01677
0.33333,0.03333,0.0182
0.36667,0.03333,0.01927
0.4,0.03333,0.01993
0.43333,0.03333,0.02028
0.46667,0.03333,0.02043
0.5,0.03333,0.02043
0.53333,0.03333,0.02028
0.56667,0.03333,0.01993
0.6,0.03333,0.01927
0.63333,0.03333,0.0182
0.66667,0.03333,0.01677
0.7,0.03333,0.01507
0.73333,0.03333,0.01316
0.76667,0.03333,0.01107
0.8,0.03333,0.00884
0.83333,0.03333,0.0065
0.86667,0.03333,0.00418
0.9,0.03333,0.00225
0.93333,0.03333,0.00096
0.96667,0.03333,0.00033
0.0,0.06667,0.00132
0.03333,0.06667,0.00225
0.06667,0.06667,0.00379
0.1,0.06667,0.0058
0.13333,0.06667,0.00794
0.16667,0.06667,0.01
0.2,0.06667,0.01191
0.23333,0.06667,0.0136
0.26667,0.06667,0.01503
0.3,0.06667,0.01625
0.33333,0.06667,0.01723
0.36667,0.06667,0.01794
0.4,0.06667,0.01838
0.43333,0.06667,0.01859
0.46667,0.06667,0.01864
0.5,0.06667,0.01859
0.53333,0.06667,0.01838
0.56667,0.06667,0.01794
0.6,0.06667,0.01723
0.63333,0.06667,0.01625
0.66667,0.06667,0.01503
0.7,0.06667,0.0136
0.73333,0.06667,0.01191
0.76667,0.06667,0.01
0.8,0.06667,0.00794
0.83333,0.06667,0.0058
0.86667,0.06667,0.00379
0.9,0.06667,0.00225
0.93333,0.06667,0.00132
0.96667,0.06667,0.00101
0.0,0.1,0.00301
0.03333,0.1,0.00418
0.06667,0.1,0.0058
0.1,0.1,0.00764
0.13333,0.1,0.0095
0.16667,0.1,0.01124
0.2,0.1,0.01274
0.23333,0.1,0.01394
0.26667,0.1,0.01485
0.3,0.1,0.01555
0.33333,0.1,0.01608
0.36667,0.1,0.01646
0.4,0.1,0.01671
0.43333,0.1,0.01683
0.46667,0.1,0.01683
0.5,0.1,0.01671
0.53333,0.1,0.01646
0.56667,0.1,0.01608
0.6,0.1,0.01555
0.63333,0.1,0.01485
0.66667,0.1,0.01394
0.7,0.1,0.01274
0.73333,0.1,0.01124
0.76667,0.1,0.0095
0.8,0.1,0.00764
0.83333,0.1,0.0058
0.86667,0.1,0.00418
0.9,0.1,0.00301
0.93333,0.1,0.0024
0.96667,0.1,0.0024
0.0,0.13333,0.0053
0.03333,0.13333,0.0065
0.06667,0.13333,0.00794
