structure_id,conf_symbol,mixing_energy_pa,Ti,Al,Nb
ICET-Training-No-00001,Ti,0.0,1.0,0.0,0.0
ICET-Training-No-00002,Al,0.0,0.0,1.0,0.0
ICET-Training-No-00003,Nb,0.0,0.0,0.0,1.0
ICET-Training-No-00006,AlTi,-0.507799225,0.5,0.5,0.0
ICET-Training-No-00007,NbTi,-0.02128712,0.5,0.0,0.5
ICET-Training-No-00010,AlNb,-0.3444552,0.0,0.5,0.5
ICET-Training-No-00016,AlTi,-0.36693168,0.5,0.5,0.0
ICET-Training-No-00017,NbTi,0.01484872,0.5,0.0,0.5
ICET-Training-No-00020,AlNb,-0.08308722,0.0,0.5,0.5
ICET-Training-No-00026,AlTi2,-0.37520537,0.6667,0.3333,0.0
ICET-Training-No-00027,NbTi2,-0.014400863333333333,0.6667,0.0,0.3333
ICET-Training-No-00030,Al2Ti,-0.3404164966666667,0.3333,0.6667,0.0
ICET-Training-No-00031,AlNbTi,-0.26801584,0.3333,0.3333,0.3333
ICET-Training-No-00034,Nb2Ti,-0.010780503333333332,0.3333,0.0,0.6667
ICET-Training-No-00040,Al2Nb,-0.19758084333333334,0.0,0.6667,0.3333
ICET-Training-No-00043,AlNb2,-0.20136404333333333,0.0,0.3333,0.6667
ICET-Training-No-00056,AlTi2,-0.23916505333333335,0.6667,0.3333,0.0
ICET-Training-No-00057,NbTi2,-0.029142123333333336,0.6667,0.0,0.3333
ICET-Training-No-00060,Al2Ti,-0.40038520666666666,0.3333,0.6667,0.0
ICET-Training-No-00061,AlNbTi,-0.1981378,0.3333,0.3333,0.3333
ICET-Training-No-00064,Nb2Ti,-0.025223393333333333,0.3333,0.0,0.6667
ICET-Training-No-00070,Al2Nb,-0.28945341666666663,0.0,0.6667,0.3333
ICET-Training-No-00073,AlNb2,-0.14824666666666667,0.0,0.3333,0.6667
ICET-Training-No-00086,AlTi2,-0.37182696,0.6667,0.3333,0.0
ICET-Training-No-00087,NbTi2,-0.014164156666666665,0.6667,0.0,0.3333
