a(ang) vol/atom energy(eV/cell) time-used(seconds)
3.4 9.83 -3.47361 0.91
3.42 10.0 -3.52018 0.888
3.44 10.18 -3.56179 0.896
3.46 10.36 -3.5976 0.892
3.48 10.54 -3.62884 0.901
3.5 10.72 -3.65617 0.89
3.52 10.9 -3.67661 0.892
3.54 11.09 -3.69461 0.896
3.56 11.28 -3.70832 0.9
3.58 11.47 -3.71872 0.895
3.6 11.66 -3.72605 0.907
3.62 11.86 -3.72976 0.944
3.64 12.06 -3.73102 1.149
3.66 12.26 -3.72882 1.148
3.68 12.46 -3.72433 1.158
3.7 12.66 -3.71717 1.151
3.72 12.87 -3.70837 1.154
3.74 13.08 -3.6967 1.141
3.76 13.29 -3.68328 1.147
3.78 13.5 -3.6675 1.138
3.8 13.72 -3.651 1.11
