      #Energy        TDOS
     -11.91661       0.00000
     -11.72761       0.00000
     -11.53861       0.00000
     -11.34961       0.00000
     -11.16161       0.00000
     -10.97261       0.00000
     -10.78361       0.00000
     -10.59461       0.00000
     -10.40561       0.00000
     -10.21761       0.00000
     -10.02861       0.00000
      -9.83961       0.00000
      -9.65061       0.00000
      -9.46161       0.00000
      -9.27361       0.01619
      -9.08461       0.03750
      -8.89561       0.04914
      -8.70661       0.05967
      -8.51761       0.06981
      -8.32861       0.07835
      -8.14061       0.08683
      -7.95161       0.09583
      -7.76261       0.10360
      -7.57361       0.11230
      -7.38461       0.12140
      -7.19661       0.13040
      -7.00761       0.14040
      -6.81861       0.15120
      -6.62961       0.16360
      -6.44061       0.17770
      -6.25261       0.19410
      -6.06361       0.21450
      -5.87461       0.24150
      -5.68561       0.27570
      -5.49661       0.32180
      -5.30861       0.40950
      -5.11961       0.58430
      -4.93061       0.85690
      -4.74161       1.20000
      -4.55261       1.28800
      -4.36361       1.70700
      -4.17561       2.47500
      -3.98661       1.65200
      -3.79761       2.38100
      -3.60861       1.90500
      -3.41961       3.08100
      -3.23161       3.18100
      -3.04261       3.81300
      -2.85361       3.53500
      -2.66461       2.66000
      -2.47561       3.05000
      -2.28761       3.57300
      -2.09861       3.13000
      -1.90961       3.66400
      -1.72061       6.82300
      -1.53161       0.44010
      -1.34361       0.41160
      -1.15461       0.36870
      -0.96561       0.35550
      -0.77661       0.35630
      -0.58761       0.32470
      -0.39861       0.31640
      -0.21061       0.31350
      -0.02161       0.30870
       0.16739       0.29090
       0.35639       0.28400
       0.54539       0.27970
       0.73339       0.27690
       0.92239       0.27090
       1.11139       0.26180
       1.30039       0.25850
       1.48939       0.25960
       1.67739       0.25620
       1.86639       0.25230
       2.05539       0.23600
       2.24439       0.22920
       2.43339       0.22040
       2.62139       0.20430
       2.81039       0.19500
       2.99939       0.18730
       3.18839       0.17810
       3.37739       0.16650
       3.56639       0.14930
       3.75439       0.13870
       3.94339       0.25730
       4.13239       0.26700
       4.32139       0.26870
       4.51039       0.36700
       4.69839       0.25930
       4.88739       0.25010
       5.07639       0.29220
       5.26539       0.30590
       5.45439       0.28330
       5.64239       0.27150
       5.83139       0.25910
       6.02039       0.25400
       6.20939       0.24900
       6.39839       0.24720
       6.58639       0.25570
       6.77539       0.23570
       6.96439       0.22600
       7.15339       0.23660
       7.34239       0.30400
       7.53039       0.30900
       7.71939       0.28870
       7.90839       0.29840
       8.09739       0.31970
       8.28639       0.34880
       8.47539       0.35230
       8.66339       0.34650
       8.85239       0.35740
       9.04139       0.34400
       9.23039       0.34680
       9.41939       0.35600
       9.60739       0.38010
       9.79639       0.36850
       9.98539       0.37420
      10.17439       0.36480
      10.36339       0.36630
      10.55139       0.38340
      10.74039       0.37860
      10.92939       0.37380
      11.11839       0.38170
      11.30739       0.38060
      11.49539       0.38900
      11.68439       0.40120
      11.87339       0.39130
      12.06239       0.39750
      12.25139       0.40870
      12.44039       0.41010
      12.62839       0.42010
      12.81739       0.43080
      13.00639       0.44940
      13.19539       0.46060
      13.38439       0.45770
      13.57239       0.44800
      13.76139       0.44350
      13.95039       0.43220
      14.13939       0.42980
      14.32839       0.42150
      14.51639       0.41720
      14.70539       0.41270
      14.89439       0.40660
      15.08339       0.39730
      15.27239       0.38930
      15.46039       0.38280
      15.64939       0.37910
      15.83839       0.37310
      16.02739       0.36530
      16.21639       0.35770
      16.40539       0.35120
      16.59339       0.34520
      16.78239       0.33980
      16.97139       0.33440
      17.16039       0.32690
      17.34939       0.31870
      17.53739       0.31070
      17.72639       0.31020
      17.91539       0.31660
      18.10439       0.32360
      18.29339       0.33040
      18.48139       0.33410
      18.67039       0.34670
      18.85939       0.36130
      19.04839       0.38040
